"nodeID","xcoord","ycoord","floor","building","nodeType","longName","shortName","teamAssigned"
"BDEPT00602",2781,1305,2,"45 Francis","DEPT","Medical Surgical Specialties Level 2","DEPT B0602","Team B"
"BDEPT00702",2950,775,2,"45 Francis","DEPT","Plastic Surgery Level 2","DPET B0702","Team B"
"BDEPT00802",3155,878,2,"45 Francis","DEPT","Outpatient Pharamacy Level 2","DEPT B0802","Team B"
"BDEPT00902",3258,877,2,"45 Francis","DEPT","Weiner Center for Pre-operational Evaluation Level 2","DEPT B0902","Team B"
"BHALL00102",2237,902,2,"45 Francis","HALL","Hallway intersection 1 Level 2","Hallway B0102","Team B"
"BHALL00202",2279,902,2,"45 Francis","HALL","Hallway Intersection 2 Level 2","Hallway B0202","Team B"
"BHALL00302",2238,1028,2,"45 Francis","HALL","Hallway Intersection 3 Level 2","Hallway B0302","Team B"
"BHALL00402",2246,1280,2,"45 Francis","HALL","Hallway Intersection 4 Level 2","Hallway B0402","Team B"
"BHALL00502",2381,902,2,"45 Francis","HALL","Hallway Intersection 5 Level 2","Hallway B0502","Team B"
"BHALL00602",2605,901,2,"45 Francis","HALL","Hallway Intersection 6 Level 2","Hallway B0602","Team B"
"BHALL00702",2672,902,2,"45 Francis","HALL","Hallway Intersection 7 Level 2","Hallway B0702","Team B"
"BHALL00802",2604,783,2,"45 Francis","HALL","Hallway Intersection 8 Level 2","Hallway B0802","Team B"
"BHALL00902",2335,590,2,"45 Francis","HALL","Hallway Intersection 9 Level 2","Hallway B0902","Team B"
"BHALL01002",2713,903,2,"45 Francis","HALL","Hallway Intersection 10 Level 2","Hallway B1002","Team B"
"BHALL01102",2921,903,2,"45 Francis","HALL","Hallway Intersection 11 Level 2","Hallway B1102","Team B"
"BHALL01202",2945,900,2,"45 Francis","HALL","Hallway Intersection 12 Level 2","Hallway B1202","Team B"
"BHALL01302",3135,890,2,"45 Francis","HALL","Hallway Intersection 13 Level 2","Hallway B1302","Team B"
"BHALL01402",3296,883,2,"45 Francis","HALL","Hallway Intersection 14 Level 2","Hallway B1402","Team B"
"BHALL01502",2680,820,2,"45 Francis","HALL","Hallway Intersection 15 Level 2","Hallway B1502","Team B"
"BHALL01602",2721,750,2,"45 Francis","HALL","Hallway Intersection 16 Level 2","Hallway B1602","Team B"
"BHALL01702",2945,710,2,"45 Francis","HALL","Hallway Intersection 17 Level 2","Hallway B1702","Team B"
"BHALL01802",2610,953,2,"45 Francis","HALL","Hallway Intersection 18 Level 2","Hallway B1802","Team B"
"BHALL01902",2679,1038,2,"45 Francis","HALL","Hallway intersection 19 Level 2","Hallway B1902","Team B"
"BHALL02002",2761,1041,2,"45 Francis","HALL","Hallway Intersection 20 Level 2","Hallway B2002","Team B"
"BHALL02102",2841,1024,2,"45 Francis","HALL","Hallway Intersection 21 Level 2","Hallway B2102","Team B"
"BHALL02202",2900,985,2,"45 Francis","HALL","Hallway Intersection 22 Level 2","Hallway B2202","Team B"
"BHALL02302",2914,963,2,"45 Francis","HALL","Hallway Intersection 23 Level 2","Hallway B2302","Team B"
"BHALL02402",3039,988,2,"45 Francis","HALL","Hallway Intersection 24 Level 2","Hallway B2402","Team B"
"BHALL02502",3163,965,2,"45 Francis","HALL","Hallway Intersection 25 Level 2","Hallway B2502","Team B"
"BHALL02602",3285,941,2,"45 Francis","HALL","Hallway Intersection 26 Level 2","Hallway B2602","Team B"
"BHALL02702",3288,1043,2,"45 Francis","HALL","Hallway Intersection 27 Level 2","Hallway B2702","Team B"
"BHALL02802",3063,1043,2,"45 Francis","HALL","Hallway Intersection 28 Level 2","Hallway B2802","Team B"
"BHALL02902",2788,1091,2,"45 Francis","HALL","Hallway Intersection 29 Level 2","Hallway B2902","Team B"
"BHALL03002",2785,1165,2,"45 Francis","HALL","Hallway Intersection 30 Level 2","Hallway B3002","Team B"
"BHALL03102",2552,1284,2,"45 Francis","HALL","Hallway Intersection 31 Level 2","Hallway B3102","Team B"
"BHALL03202",2558,1472,2,"45 Francis","HALL","Hallway Intersection 32 Level 2","Hallway B3202","Team B"
"BINFO00102",2962,962,2,"45 Francis","INFO","Information Desk 1 Level 2","INFO B0102","Team B"
"BINFO00202",3136,963,2,"45 Francis","INFO","Key icon Level 2","INFO B0202","Team B"
"BLABS00102",2248,1336,2,"45 Francis","LABS","Vascular Diagnostic Lab Level 2","Labs B0102","Team B"
"BLABS00202",2945,995,2,"45 Francis","LABS","Outpatient Speciman Collection Level 2","Labs B0202","Team B"
"BREST00102",2178,1016,2,"45 Francis","REST","Restroom 1 Level 2","REST B0102","Team B"
"BREST00202",2606,841,2,"45 Francis","REST","Restroom 2 Level 2","REST B0202","Team B"
"BREST00302",2225,1278,2,"45 Francis","REST","Restroom 3 Level 2","REST B0302","Team B"
"BREST00402",2553,1389,2,"45 Francis","REST","Restroom 4 Level 2","REST B0402","Team B"
"BREST00502",2775,1152,2,"45 Francis","REST","Restroom 5 Level 2","REST B0502","Team B"
"BRETL00102",3279,1005,2,"45 Francis","RETL","Cafe 1 Level 2","RETL B0102","Team B"
"BSERV00102",2853,1067,2,"45 Francis","SERV","Patient Financial Services Level 2","SERV B0102","Team B"
"BSTAI00102",2177,902,2,"45 Francis","STAI","Staircase Intersection 1 Level 2","Stair B0102","Team B"
"BSTAI00202",2282,827,2,"45 Francis","STAI","Staircase Intersection 2 Level 2","Stair B0202","Team B"
"BSTAI00302",2554,784,2,"45 Francis","STAI","Staircase Intersection 3 Level 2","Stair B0302","Team B"
"BSTAI00402",2905,895,2,"45 Francis","STAI","Staircase Intersection 4 Level 2","Stair B0402","Team B"
"BSTAI00502",2946,840,2,"45 Francis","STAI","Staircase Intersection 5 Level 2","Stair B0502","Team B"
"BSTAI00602",3217,884,2,"45 Francis","STAI","Staircase Intersection 6 Level 2","Stair B0602","Team B"
"BSTAI00702",2811,1159,2,"45 Francis","STAI","Staircase Intersection 7 Level 2","Stair B0702","Team B"
"BSTAI00802",2554,1316,2,"45 Francis","STAI","Staircase Intersection 8 Level 2","Stair B0802","Team B"
"BSTAI00902",2190,1290,2,"45 Francis","STAI","Staircase Intersection 9 Level 2","Stair B0902","Team B"
"BSTAI01002",2231,932,2,"45 Francis","STAI","Staircase Intersection 10 Level 2","Stair B1002","Team B"
"BHALL03302",3228,880,2,"45 Francis","HALL","Hallway Intersection 33 Level 2","Hallway B3302","Team B"
"BHALL03402",3075,967,2,"45 Francis","HALL","Hallway Intersection 34 Level 2","Hallway B3402","Team B"
"CCONF001L1",2255,850,"L1","45 Francis","CONF","Anesthesia Conf Floor L1","Conf C001L1","Team C"
"CCONF002L1",2665,1043,"L1","45 Francis","CONF","Medical Records Conference Room Floor L1","Conf C002L1","Team C"
"CCONF003L1",2445,1245,"L1","45 Francis","CONF","Abrams Conference Room","Conf C003L1","Team C"
"CDEPT002L1",1980,845,"L1","Tower","DEPT","Day Surgery Family Waiting Floor L1","Department C002L1","Team C"
"CDEPT003L1",1845,845,"L1","Tower","DEPT","Day Surgery Family Waiting Exit Floor L1","Department C003L1","Team C"
"CDEPT004L1",2310,1043,"L1","45 Francis","DEPT","Medical Records Film Library Floor L1","Department C004L1","Team C"
"CHALL001L1",1732,925,"L1","Tower","HALL","Hallway 1 Floor L1","Hallway C001L1","Team C"
"CHALL001L2",2360,855,"L2","45 Francis","HALL","Hallway K Elevator Floor L2","Hallway C001L2","Team C"
"CHALL002L1",2445,1043,"L1","45 Francis","HALL","Hallway 2 Floor L1","Hallway C002L1","Team C"
"CHALL002L2",2270,905,"L2","45 Francis","HALL","Hallway 2 Floor L2","Hallway C002L2","Team C"
"CHALL003L1",2445,1285,"L1","45 Francis","HALL","Hallway 3 Floor L1","Hallway C003L1","Team C"
"CHALL003L2",2215,905,"L2","45 Francis","HALL","Hallway 3 Floor L2","Hallway C003L2","Team C"
"CHALL004L1",2770,1070,"L1","45 Francis","HALL","Hallway 4 Floor L1","Hallway C004L1","Team C"
"CHALL004L2",2130,905,"L2","45 Francis","HALL","Hallway 4 Floor L2","Hallway C004L2","Team C"
"CHALL005L1",1750,1285,"L1","Tower","HALL","Hallway 5 Floor L1","Hallway C005L1","Team C"
"CHALL005L2",1745,1280,"L2","Tower","HALL","Hallway 5 Floor L2","Hallway C005L2","Team C"
"CHALL006L1",2130,1285,"L1","Tower","HALL","Hallway 6 Floor L1","Hallway C006L1","Team C"
"CHALL006L2",1745,1010,"L2","Tower","HALL","Hallway 6 Floor L2","Hallway C006L2","Team C"
"CHALL007L1",2130,1045,"L1","Tower","HALL","Hallway 7 Floor L1","Hallway C007L1","Team C"
"CHALL007L2",1730,1010,"L2","Tower","HALL","Hallway 7 Floor L2","Hallway C007L2","Team C"
"CHALL008L1",2215,1045,"L1","45 Francis","HALL","Hallway 8 Floor L1","Hallway C008L1","Team C"
"CHALL008L2",1730,925,"L2","Tower","HALL","Hallway 8 Floor L2","Hallway C008L2","Team C"
"CHALL009L1",2220,905,"L1","45 Francis","HALL","Hallway 9 Floor L1","Hallway C009L1","Team C"
"CHALL009L2",1730,850,"L2","Tower","HALL","Hallway 9 Floor L2","Hallway C009L2","Team C"
"CHALL010L1",2265,905,"L1","45 Francis","HALL","Hallway 10 Floor L1","Hallway C010L1","Team C"
"CHALL010L2",2130,850,"L2","Tower","HALL","Hallway 10 Floor L2","Hallway C010L2","Team C"
"CHALL011L1",2360,850,"L1","45 Francis","HALL","Hallway 11 Floor L1","Hallway C011L1","Team C"
"CHALL012L1",2130,905,"L1","45 Francis","HALL","Hallway 12 Floor L1","Hallway C012L1","Team C"
"CHALL013L1",2130,845,"L1","45 Francis","HALL","Hallway 13 Floor L1","Hallway C013L1","Team C"
"CHALL014L1",1845,925,"L1","Tower","HALL","Hallway 14 Floor L1","Hallway C014L1","Team C"
"CHALL015L1",2300,850,"L1","45 Francis","HALL","Hallway 15 Floor L1","Hallway C015L1","Team C"
"CLABS001L1",1965,1285,"L1","Tower","LABS","Outpatient Fluoroscopy Floor L1","Lab C001L1","Team C"
"CLABS001L2",2300,855,"L2","45 Francis","LABS","Radiation Oncology T/X Suite Floor L2","Lab C001L2","Team C"
"CLABS002L1",1750,1090,"L1","Tower","LABS","Pre-Op PACU Floor L1","Lab C002L1","Team C"
"CLABS002L2",2215,1280,"L2","45 Francis","LABS","Radiation Oncology Floor L2","Lab C002L2","Team C"
"CLABS003L1",2290,1285,"L1","45 Francis","LABS","Nuclear Medicine Floor L1","Lab C003L1","Team C"
"CLABS004L1",2320,1285,"L1","45 Francis","LABS","Ultrasound Floor L1","Lab C004L1","Team C"
"CLABS005L1",2770,1285,"L1","45 Francis","LABS","CSIR MRI Floor L1","Lab C005L1","Team C"
"CREST001L1",1732,1020,"L1","Tower","REST","Restroom L Elevator Floor L1","Restroom C001L1","Team C"
"CREST001L2",2300,885,"L2","45 Francis","REST","Restroom K Elevator Floor L2","Restroom C001L2","Team C"
"CREST002L1",2065,1285,"L1","Tower","REST","Restroom M Elevator Floor L1","Restroom C002L1","Team C"
"CREST002L2",1930,1280,"L2","45 Francis","REST","Restroom L Elevator Floor L2","Restroom C002L2","Team C"
"CREST003L1",2300,880,"L1","45 Francis","REST","Restroom K Elevator Floor L1","Restroom C003L1","Team C"
"CREST004L1",2770,1160,"L1","45 Francis","REST","Restroom H Elevator Floor L1","Restroom C004L1","Team C"
"CRETL001L1",2185,905,"L1","45 Francis","RETL","Vending Machine 1 L1","Retail C001L1","Team C"
"CSERV001L1",2490,1043,"L1","45 Francis","SERV","Volunteers Floor L1","Service C001L1","Team C"
"CSERV001L2",2015,1280,"L2","45 Francis","SERV","Interpreter Services Floor L2","Service C001L2","Team C"
"DELEV00A02",4550,375,2,"15 Francis","ELEV","Elevator A Floor 2","Elevator A2","Team D"
"DELEV00B02",4155,650,2,"15 Francis","ELEV","Elevator B Floor 2","Elevator B2","Team D"
"DELEV00C02",3955,885,2,"15 Francis","ELEV","Elevator C Floor 2","Elevator C2","Team D"
"DELEV00D02",3475,760,2,"15 Francis","ELEV","Elevator D Floor 2","Elevator D2","Team D"
"DREST00102",4125,625,2,"15 Francis","REST","Restroom B elevator Floor 2","Restroom B","Team D"
"DREST00202",3895,695,2,"15 Francis","REST","Restroom C elevator Floor 2","Restroom C","Team D"
"DREST00302",3635,830,2,"15 Francis","REST","Restroom C-D elevator Floor 2","Restroom C-D","Team D"
"DREST00402",3525,850,2,"15 Francis","REST","Restroom D elevator Floor 2","Restroom D","Team D"
"DINFO00102",4210,630,2,"15 Francis","INFO","15 Francis Security Desk Floor 2","Information Desk","Team D"
"DINFO00202",3490,825,2,"15 Francis","INFO","Security Desk Thorn Floor 2","Security Desk","Team D"
"DDEPT00102",4330,700,2,"15 Francis","DEPT","Chest Diseases Floor 2","Chest Diseases","Team D"
"DDEPT00202",4240,730,2,"15 Francis","DEPT","Thoracic Surgery Clinic Floor 2","Thoracic Surgery Clinic","Team D"
"DDEPT00302",3900,640,2,"15 Francis","DEPT","Brigham Health Floor 2","Brigham Health","Team D"
"DDEPT00402",3425,870,2,"15 Francis","DEPT","Waiting Room Floor 2","Waiting Room","Team D"
"DLABS00102",3830,775,2,"15 Francis","LABS","MRI Associates Floor 2","MRI Associates","Team D"
"DCONF00102",4595,550,2,"15 Francis","CONF","Carrie M. Hall Conference Center Floor 2","Conference Center","Team D"
"DRETL00102",4270,480,2,"15 Francis","RETL","Pat's Place Floor 2","Pat's Place","Team D"
"DEXIT00102",4295,750,2,"15 Francis","EXIT","15 Lobby Entrance Floor 2","15 Lobby Entrance","Team D"
"DSTAI00102",4650,675,2,"15 Francis","STAI","Staircase1 Floor2","Staircase1","Team D"
"DSTAI00202",4330,580,2,"15 Francis","STAI","Staircase2 Floor2","Staircase2","Team D"
"DSTAI00302",4250,440,2,"15 Francis","STAI","Staircase3 Floor2","Staircase3","Team D"
"DSTAI00402",4175,620,2,"15 Francis","STAI","Staircase4 Floor2","Staircase4","Team D"
"DSTAI00502",4065,630,2,"15 Francis","STAI","Staircase5 Floor2","Staircase5","Team D"
"DSTAI00602",3950,865,2,"15 Francis","STAI","Staircase6 Floor2","Staircase6","Team D"
"DSTAI00702",3855,565,2,"15 Francis","STAI","Staircase7 Floor2","Staircase7","Team D"
"DSTAI00802",3535,645,2,"15 Francis","STAI","Staircase8 Floor2","Staircase8","Team D"
"DHALL00102",4770,1140,2,"15 Francis","HALL","Hallway 1 Floor 2","Hallway D0102","Team D"
"DHALL00202",4750,1080,2,"15 Francis","HALL","Hallway 2 Floor 2","Hallway D0202","Team D"
"DHALL00302",4725,995,2,"15 Francis","HALL","Hallway 3 Floor 2","Hallway D0302","Team D"
"DHALL00402",4785,975,2,"15 Francis","HALL","Hallway 4 Floor 2","Hallway D0402","Team D"
"DHALL00502",4705,925,2,"15 Francis","HALL","Hallway 5 Floor 2","Hallway D0502","Team D"
"DHALL00602",4690,870,2,"15 Francis","HALL","Hallway 6 Floor 2","Hallway D0602","Team D"
"DHALL00702",4675,820,2,"15 Francis","HALL","Hallway 7 Floor 2","Hallway D0702","Team D"
"DHALL00802",4660,770,2,"15 Francis","HALL","Hallway 8 Floor 2","Hallway D0802","Team D"
"DHALL00902",4635,680,2,"15 Francis","HALL","Hallway 9 Floor 2","Hallway D0902","Team D"
"DHALL01002",4625,650,2,"15 Francis","HALL","Hallway 10 Floor 2","Hallway D1002","Team D"
"DHALL01102",4605,655,2,"15 Francis","HALL","Hallway 11 Floor 3","Hallway D1102","Team D"
"DHALL01202",4570,555,2,"15 Francis","HALL","Hallway 12 Floor 3","Hallway D1202","Team D"
"DHALL01302",4545,460,2,"15 Francis","HALL","Hallway 13 Floor 3","Hallway D1302","Team D"
"DHALL01402",4570,455,2,"15 Francis","HALL","Hallway 14 Floor 3","Hallway D1402","Team D"
"DHALL01502",4480,580,2,"15 Francis","HALL","Hallway 15 Floor 3","Hallway D1502","Team D"
"DHALL01602",4390,605,2,"15 Francis","HALL","Hallway 16 Floor 3","Hallway D1602","Team D"
"DHALL01702",4385,585,2,"15 Francis","HALL","Hallway 17 Floor 3","Hallway D1702","Team D"
"DHALL01802",4340,625,2,"15 Francis","HALL","Hallway 18 Floor 3","Hallway D1802","Team D"
"DHALL01902",4310,585,2,"15 Francis","HALL","Hallway 19 Floor 3","Hallway D1902","Team D"
"DHALL02002",4295,530,2,"15 Francis","HALL","Hallway 20 Floor 3","Hallway D2002","Team D"
"DHALL02102",4280,475,2,"15 Francis","HALL","Hallway 21 Floor 4","Hallway D2102","Team D"
"DHALL02202",4270,440,2,"15 Francis","HALL","Hallway 22 Floor 4","Hallway D2202","Team D"
"DHALL02302",4280,435,2,"15 Francis","HALL","Hallway 23 Floor 4","Hallway D2302","Team D"
"DHALL02402",4295,475,2,"15 Francis","HALL","Hallway 24 Floor 4","Hallway D2402","Team D"
"DHALL02502",4285,715,2,"15 Francis","HALL","Hallway 25 Floor 4","Hallway D2502","Team D"
"DHALL02602",4270,650,2,"15 Francis","HALL","Hallway 26 Floor 4","Hallway D2602","Team D"
"DHALL02702",4220,660,2,"15 Francis","HALL","Hallway 27 Floor 4","Hallway D2702","Team D"
"DHALL02802",4185,665,2,"15 Francis","HALL","Hallway 28 Floor 4","Hallway D2802","Team D"
"DHALL02902",4140,680,2,"15 Francis","HALL","Hallway 29 Floor 4","Hallway D2902","Team D"
"DHALL03002",4130,650,2,"15 Francis","HALL","Hallway 30 Floor 4","Hallway D3002","Team D"
"DHALL03102",4020,715,2,"15 Francis","HALL","Hallway 31 Floor 5","Hallway D3102","Team D"
"DHALL03202",4000,645,2,"15 Francis","HALL","Hallway 32 Floor 5","Hallway D3202","Team D"
"DHALL03302",3925,740,2,"15 Francis","HALL","Hallway 33 Floor 5","Hallway D3302","Team D"
"DHALL03402",3945,790,2,"15 Francis","HALL","Hallway 34 Floor 5","Hallway D3402","Team D"
"DHALL03502",3955,830,2,"15 Francis","HALL","Hallway 35 Floor 5","Hallway D3502","Team D"
"DHALL03602",3965,860,2,"15 Francis","HALL","Hallway 36 Floor 5","Hallway D3602","Team D"
"DHALL03702",3970,880,2,"15 Francis","HALL","Hallway 37 Floor 5","Hallway D3702","Team D"
"DHALL03802",3980,910,2,"15 Francis","HALL","Hallway 38 Floor 5","Hallway D3802","Team D"
"DHALL03902",3910,685,2,"15 Francis","HALL","Hallway 39 Floor 5","Hallway D3902","Team D"
"DHALL04002",3875,560,2,"15 Francis","HALL","Hallway 40 Floor 5","Hallway D4002","Team D"
"DHALL04102",3870,540,2,"15 Francis","HALL","Hallway 41 Floor 6","Hallway D4102","Team D"
"DHALL04202",3865,750,2,"15 Francis","HALL","Hallway 42 Floor 6","Hallway D4202","Team D"
"DHALL04302",3860,725,2,"15 Francis","HALL","Hallway 43 Floor 6","Hallway D4302","Team D"
"DHALL04402",3775,745,2,"15 Francis","HALL","Hallway 44 Floor 6","Hallway D4402","Team D"
"DHALL04502",3825,760,2,"15 Francis","HALL","Hallway 45 Floor 6","Hallway D4502","Team D"
"DHALL04602",3745,780,2,"15 Francis","HALL","Hallway 46 Floor 6","Hallway D4602","Team D"
"DHALL04702",3655,805,2,"15 Francis","HALL","Hallway 47 Floor 6","Hallway D4702","Team D"
"DHALL04802",3645,775,2,"15 Francis","HALL","Hallway 48 Floor 2","Hallway D4802","Team D"
"DHALL04902",3630,810,2,"15 Francis","HALL","Hallway 49 Floor 2","Hallway D4902","Team D"
"DHALL05002",3575,825,2,"15 Francis","HALL","Hallway 50 Floor 2","Hallway D5002","Team D"
"DHALL05102",3555,730,2,"15 Francis","HALL","Hallway 51 Floor 2","Hallway D5102","Team D"
"DHALL05202",3525,840,2,"15 Francis","HALL","Hallway 52 Floor 2","Hallway D5202","Team D"
"DHALL05302",3490,845,2,"15 Francis","HALL","Hallway 53 Floor 2","Hallway D5302","Team D"
"DHALL05402",3450,850,2,"15 Francis","HALL","Hallway 54 Floor 2","Hallway D5402","Team D"
"DHALL05502",3440,800,2,"15 Francis","HALL","Hallway 55 Floor 2","Hallway D5502","Team D"
"DHALL05602",3480,790,2,"15 Francis","HALL","Hallway 56 Floor 2","Hallway D5602","Team D"
"DHALL05702",3510,790,2,"15 Francis","HALL","Hallway 57 Floor 2","Hallway D5702","Team D"
"DHALL05802",3420,850,2,"15 Francis","HALL","Hallway 58 Floor 2","Hallway D5802","Team D"
"ESTAI00101",2190,910,1,"45 Francis","STAI","Staircase K1 Floor 1","Stair K1","Team E"
"EHALL00301",2240,910,1,"45 Francis","HALL","Hallway Node 1 Floor 1","Hall 01","Team E"
"EHALL00401",2275,910,1,"45 Francis","HALL","Hallway Node 2 Floor 1","HallE02","Team E"
"ESTAI00201",2275,830,1,"45 Francis","STAI","Staircase J1 Floor 1","Stair J1","Team E"
"EEXIT00101",2275,785,1,"45 Francis","EXIT","Ambulance Parking Exit Floor 1","AmbExit 1","Team E"
"EHALL00501",2290,910,1,"45 Francis","HALL","Hallway Node 3 Floor 1","HallE03","Team E"
"EHALL00601",2385,910,1,"45 Francis","HALL","Hallway Node 4 Floor 1","HallE04","Team E"
"EHALL00701",2385,860,1,"45 Francis","HALL","Hallway Node 5 Floor 1","HallE05","Team E"
"EDEPT00101",2335,860,1,"45 Francis","DEPT","Waiting Room 1 Floor 1","Wait 1","Team E"
